game_idx,game_date,team,opponent,is_home,spread_diff,did_cover,did_cover_handicap,team_games_played,team_covers_3,team_cover_pct_3,team_avg_margin_3,team_covers_5,team_cover_pct_5,team_avg_margin_5,team_covers_7,team_cover_pct_7,team_avg_margin_7,team_streak,opp_games_played,opp_covers_3,opp_cover_pct_3,opp_avg_margin_3,opp_covers_5,opp_cover_pct_5,opp_avg_margin_5,opp_covers_7,opp_cover_pct_7,opp_avg_margin_7,opp_streak,team_form_tier_3,opp_form_tier_3,team_form_tier_5,opp_form_tier_5,team_form_tier_7,opp_form_tier_7
0,2025-10-21,Oklahoma City Thunder,Houston Rockets,True,-5.5,False,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0,2025-10-21,Houston Rockets,Oklahoma City Thunder,False,5.5,True,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2025-10-21,Los Angeles Lakers,Golden State Warriors,True,-7.5,False,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2025-10-21,Golden State Warriors,Los Angeles Lakers,False,7.5,True,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,2025-10-22,Orlando Magic,Miami Heat,True,-4.5,False,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,2025-10-22,Miami Heat,Orlando Magic,False,4.5,True,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,2025-10-22,Atlanta Hawks,Toronto Raptors,True,-25.5,False,False,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,2025-10-22,Toronto Raptors,Atlanta Hawks,False,25.5,True,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,2025-10-22,Chicago Bulls,Detroit Pistons,True,7.5,True,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,2025-10-22,Detroit Pistons,Chicago Bulls,False,-7.5,False,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,2025-10-22,Boston Celtics,Philadelphia 76ers,True,-6.5,False,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,2025-10-22,Philadelphia 76ers,Boston Celtics,False,6.5,True,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,2025-10-22,Milwaukee Bucks,Washington Wizards,True,2.5,True,True,0,,,,,,,,,,0,0,,,,,,,,,,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
