team,games,original_cover_pct,handicap_cover_pct,original_rating,handicap_rating,handicap_delta
Tarleton State Texans,12,0.9166666666666666,0.9166666666666666,0.9050212951400325,1.0,0.09497870485996751
Portland St Vikings,10,0.9,0.9,0.5821794390259853,0.9152061825110173,0.3330267434850319
Stephen F. Austin Lumberjacks,13,0.8461538461538461,1.0,0.9551851224174165,0.9055023254516104,-0.04968279696580613
Mercer Bears,9,0.8888888888888888,1.0,0.8411124241011486,0.7814142765509031,-0.059698147550245495
Prairie View Panthers,10,0.8,0.9,0.7970390183111303,0.7604173643252923,-0.036621653985838054
William & Mary Tribe,12,0.8333333333333334,1.0,0.8953618463367284,0.7542784964045437,-0.14108334993218474
Hofstra Pride,11,0.8181818181818182,1.0,0.6858181387060398,0.7507647092540674,0.06494657054802755
Idaho State Bengals,12,0.75,0.9166666666666666,0.6368742223093949,0.7359524758721006,0.09907825356270561
Sam Houston St Bearkats,11,0.8181818181818182,1.0,0.8405633377200943,0.7327013221603526,-0.10786201555974173
Denver Pioneers,14,0.7142857142857143,0.8571428571428571,0.6655825654292585,0.678989939955318,0.013407374526059446
Miami (OH) RedHawks,10,0.8,1.0,0.6719594671302171,0.6763121809469923,0.0043527138167751556
Florida Int'l Golden Panthers,10,0.8,1.0,0.5504978244291822,0.6714197555239625,0.12092193109478033
Iowa Hawkeyes,14,0.7857142857142857,0.8571428571428571,0.5951096364402527,0.6713533754058412,0.07624373896558845
Boise State Broncos,11,0.7272727272727273,0.8181818181818182,0.5373405964854505,0.6529682794151183,0.11562768292966774
Tennessee St Tigers,10,0.8,0.9,0.5537528471884552,0.6525121530275669,0.09875930583911174
West Georgia Wolves,11,0.7272727272727273,0.9090909090909091,0.5926580465708926,0.6344269551367188,0.04176890856582616
Villanova Wildcats,14,0.7142857142857143,0.9285714285714286,0.745826271001834,0.6173872880113251,-0.12843898299050882
Grambling St Tigers,12,0.75,1.0,0.66684501982484,0.6103965576100815,-0.05644846221475852
UC San Diego Tritons,11,0.7272727272727273,0.9090909090909091,0.6401360964426898,0.6101683090985329,-0.029967787344156838
Le Moyne Dolphins,10,0.8,0.8,0.5030179814184185,0.6008629195573217,0.09784493813890327
Montana St Bobcats,12,0.6666666666666666,1.0,0.5759062692352399,0.5977551997470923,0.021848930511852438
Eastern Michigan Eagles,13,0.6923076923076923,0.8461538461538461,0.4654643269463652,0.5928821669509865,0.1274178400046213
Buffalo Bulls,12,0.75,1.0,0.8665767297538596,0.5920288486609914,-0.2745478810928682
Bellarmine Knights,11,0.7272727272727273,0.8181818181818182,0.5128868916644935,0.5851423312350523,0.0722554395705588
Army Knights,9,0.7777777777777778,0.8888888888888888,0.5782698902730866,0.581189245484397,0.0029193552113103705
Michigan Wolverines,13,0.6923076923076923,0.9230769230769231,1.0,0.5775716489513499,-0.42242835104865006
Akron Zips,12,0.6666666666666666,0.9166666666666666,0.6596718586940841,0.5680310674653308,-0.09164079122875324
Northern Iowa Panthers,13,0.6923076923076923,1.0,0.6410943894054421,0.5671717284229875,-0.07392266098245459
Arkansas Razorbacks,14,0.7142857142857143,0.8571428571428571,0.4901317103567265,0.5626487594944652,0.07251704913773876
Wichita St Shockers,14,0.6428571428571429,1.0,0.6469506651873577,0.5601495717979228,-0.08680109338943487
LIU Sharks,13,0.6923076923076923,0.9230769230769231,0.766057825085405,0.5547225586934268,-0.2113352663919782
Arkansas St Red Wolves,13,0.6923076923076923,0.7692307692307693,0.48148618402178267,0.54872699476206,0.06724081074027732
Tulsa Golden Hurricane,12,0.6666666666666666,0.9166666666666666,0.7258385378563432,0.5467694254533102,-0.17906911240303303
Pennsylvania Quakers,10,0.7,1.0,0.575333223803564,0.5455677465542237,-0.02976547724934031
Virginia Tech Hokies,13,0.6923076923076923,0.9230769230769231,0.4823589456959711,0.5450154272878179,0.06265648159184684
Colorado St Rams,12,0.6666666666666666,0.75,0.4352186387000072,0.543981594614558,0.10876295591455076
Maryland-Eastern Shore Hawks,15,0.6666666666666666,0.9333333333333333,0.5908948203768397,0.533154436894997,-0.05774038348184274
UT-Arlington Mavericks,13,0.6153846153846154,0.9230769230769231,0.6170569014564317,0.5327460461281385,-0.08431085532829319
Illinois St Redbirds,13,0.6923076923076923,1.0,0.8473104683778847,0.5320150758022583,-0.31529539257562644
Fresno St Bulldogs,13,0.6153846153846154,0.9230769230769231,0.4453246214492508,0.526949242196051,0.08162462074680021
Notre Dame Fighting Irish,14,0.6428571428571429,0.8571428571428571,0.5577967723489732,0.523494175197391,-0.034302597151582126
Florida Atlantic Owls,13,0.6923076923076923,0.9230769230769231,0.4860427334896924,0.5145945865219375,0.028551853032245056
Long Beach St 49ers,13,0.6153846153846154,0.8461538461538461,0.43728972836174745,0.5055749027795213,0.06828517441777388
Wagner Seahawks,9,0.6666666666666666,0.8888888888888888,0.6493458211175747,0.5050400187319599,-0.14430580238561475
North Texas Mean Green,13,0.6153846153846154,0.8461538461538461,0.3840643845564281,0.5025999892816976,0.11853560472526947
Incarnate Word Cardinals,11,0.6363636363636364,0.8181818181818182,0.6178399440686378,0.5022000609651127,-0.11563988310352513
Loyola Marymount Lions,16,0.625,0.875,0.3832572070183465,0.4996140270538206,0.1163568200354741
Indiana St Sycamores,13,0.6923076923076923,0.9230769230769231,0.5551120402014679,0.4952969873129757,-0.05981505288849215
Louisville Cardinals,14,0.6428571428571429,0.7857142857142857,0.46690462148118533,0.49330801655963447,0.026403395078449132
N Colorado Bears,11,0.6363636363636364,0.8181818181818182,0.373583975076841,0.4919237121191357,0.11833973704229472
Arizona Wildcats,14,0.6428571428571429,1.0,0.6441563755265416,0.48764396553990796,-0.15651240998663363
Kansas Jayhawks,14,0.6428571428571429,1.0,0.6848466706826373,0.4875017823542013,-0.197344888328436
Purdue Boilermakers,14,0.6428571428571429,0.8571428571428571,0.6246129893699522,0.48699263238540186,-0.13762035698455038
Iona Gaels,15,0.6,0.8666666666666667,0.5309025611317517,0.4868608297286166,-0.04404173140313511
Memphis Tigers,14,0.6428571428571429,0.9285714285714286,0.3922861164179588,0.4799886136941828,0.08770249727622398
Fordham Rams,11,0.6363636363636364,0.8181818181818182,0.46496403281683474,0.47955944325896765,0.014595410442132917
Detroit Mercy Titans,12,0.6666666666666666,0.9166666666666666,0.33230551635650313,0.4705127398187935,0.13820722346229036
Utah Tech Trailblazers,13,0.6153846153846154,0.9230769230769231,0.5620284968128275,0.4675514159152285,-0.09447708089759904
Vanderbilt Commodores,11,0.6363636363636364,0.8181818181818182,0.4992903047172109,0.46359175430312455,-0.03569855041408637
Butler Bulldogs,15,0.6,0.8666666666666667,0.6388701217174522,0.45936148478662203,-0.17950863693083013
Lindenwood Lions,11,0.6363636363636364,0.9090909090909091,0.452005645645639,0.45682684248580474,0.004821196840165742
Saint Mary's Gaels,14,0.5714285714285714,1.0,0.5762843228023782,0.45601236100465625,-0.12027196179772193
DePaul Blue Demons,15,0.6,0.7333333333333333,0.4450574236607209,0.45547299488412357,0.010415571223402698
Georgia Southern Eagles,13,0.6923076923076923,0.9230769230769231,0.3368143853342596,0.4544598583236249,0.11764547298936529
Murray St Racers,16,0.625,1.0,0.6832489921974088,0.45438111979965756,-0.2288678723977512
Auburn Tigers,14,0.6428571428571429,0.7142857142857143,0.3740262579033832,0.45222146101635396,0.07819520311297079
Eastern Illinois Panthers,12,0.5833333333333334,0.9166666666666666,0.5274449585822519,0.449592518278207,-0.07785244030404492
Saint Peter's Peacocks,9,0.6666666666666666,0.7777777777777778,0.40861529936249985,0.4495014920162362,0.04088619265373633
Arkansas-Pine Bluff Golden Lions,10,0.6,0.9,0.5867631985420801,0.446729979804528,-0.14003321873755215
North Dakota Fighting Hawks,15,0.6,0.8,0.3751364640907053,0.4439629557108388,0.06882649162013355
Oral Roberts Golden Eagles,12,0.5833333333333334,0.8333333333333334,0.368201051505258,0.4433331571080176,0.07513210560275957
Northern Arizona Lumberjacks,12,0.5833333333333334,0.9166666666666666,0.24912347700825332,0.44030893873888405,0.19118546173063072
Pacific Tigers,14,0.5714285714285714,0.7857142857142857,0.36282900834475834,0.4392439225946534,0.07641491424989505
Central Arkansas Bears,10,0.6,1.0,0.7149664870817177,0.43840323884909577,-0.27656324823262196
Princeton Tigers,15,0.6,0.8,0.3309900396125792,0.43702297674978996,0.10603293713721074
Eastern Washington Eagles,12,0.5833333333333334,0.8333333333333334,0.3773285643621544,0.43224872831847894,0.05492016395632454
Arizona St Sun Devils,13,0.6153846153846154,0.9230769230769231,0.39213619097916247,0.42870649212140544,0.03657030114224297
San Diego Toreros,15,0.5333333333333333,0.8666666666666667,0.35526953541572953,0.42635897482044965,0.07108943940472012
Middle Tennessee Blue Raiders,11,0.5454545454545454,0.9090909090909091,0.6384700730523555,0.4253207736676205,-0.21314929938473498
Howard Bison,11,0.6363636363636364,1.0,0.3883262293432537,0.42345207330099965,0.03512584395774593
Vermont Catamounts,11,0.5454545454545454,0.9090909090909091,0.3298432254291031,0.4219846638685876,0.09214143843948447
Texas A&M-CC Islanders,11,0.5454545454545454,1.0,0.5624686734929516,0.4216615167451819,-0.14080715674776972
Oakland Golden Grizzlies,14,0.5714285714285714,0.8571428571428571,0.6046633666191717,0.41946733093493,-0.18519603568424176
UCF Knights,13,0.5384615384615384,1.0,0.7085384910318387,0.4180441569293781,-0.29049433410246067
Saint Louis Billikens,13,0.6153846153846154,0.9230769230769231,0.6409571552824805,0.4172739778402138,-0.22368317744226673
Seton Hall Pirates,15,0.6,0.9333333333333333,0.5947463907365227,0.413073809961401,-0.18167258077512172
Siena Saints,13,0.6153846153846154,0.9230769230769231,0.3027512697437926,0.4127301359806199,0.10997886623682734
Stanford Cardinal,15,0.5333333333333333,0.8666666666666667,0.35549662391360076,0.4107536301561835,0.05525700624258273
GW Revolutionaries,14,0.5714285714285714,0.8571428571428571,0.49770580261468966,0.409664741547567,-0.08804106106712267
Kennesaw St Owls,8,0.625,0.875,0.45575819808741946,0.4088053797425218,-0.04695281834489767
