team,games,wins,win_pct,covers,cover_pct,win_rating,spread_rating,value_score
Stephen F. Austin Lumberjacks,13,10,0.7692307692307693,11,0.8461538461538461,0.477262124585108,1.0,0.5227378754148919
Mercer Bears,9,3,0.3333333333333333,8,0.8888888888888888,0.17917883797518203,0.8996096004847652,0.7204307625095832
Michigan Wolverines,13,13,1.0,9,0.6923076923076923,1.0,0.8947155914955641,-0.10528440850443588
Tarleton State Texans,12,7,0.5833333333333334,11,0.9166666666666666,0.23008409932503696,0.847606503698344,0.6175224043733071
Sam Houston St Bearkats,11,5,0.45454545454545453,9,0.8181818181818182,0.2405075438199482,0.8113517982515541,0.5708442544316059
Buffalo Bulls,12,10,0.8333333333333334,9,0.75,0.4333478415651668,0.8108361274549118,0.37748828588974503
William & Mary Tribe,12,8,0.6666666666666666,10,0.8333333333333334,0.3545537233379659,0.7870159045227193,0.4324621811847534
Illinois St Redbirds,13,10,0.7692307692307693,9,0.6923076923076923,0.43895455668951316,0.7304796029782293,0.29152504628871617
Prairie View Panthers,10,1,0.1,8,0.8,0.0599717277059823,0.7033725809313138,0.6434008532253315
Central Arkansas Bears,10,4,0.4,6,0.6,0.15475169634745528,0.6049121991830179,0.4501605028355626
LIU Sharks,13,7,0.5384615384615384,9,0.6923076923076923,0.20956888630099568,0.6042592592064723,0.3946903729054766
Villanova Wildcats,14,12,0.8571428571428571,10,0.7142857142857143,0.681426599623274,0.6006520710130152,-0.0807745286102588
Hofstra Pride,11,7,0.6363636363636364,9,0.8181818181818182,0.32399087111746516,0.5803072095467444,0.25631633842927926
Tulsa Golden Hurricane,12,10,0.8333333333333334,8,0.6666666666666666,0.5363673327032039,0.5794437203383698,0.04307638763516586
UCF Knights,13,12,0.9230769230769231,7,0.5384615384615384,0.6273678667763126,0.5701021681861079,-0.057265698590204694
Murray St Racers,16,13,0.8125,10,0.625,0.4911359464947946,0.5339066194465167,0.042770672951722155
Idaho State Bengals,12,5,0.4166666666666667,9,0.75,0.20377590152256125,0.5277534421797163,0.32397754065715506
Denver Pioneers,14,5,0.35714285714285715,10,0.7142857142857143,0.08572365436666193,0.5242602810108624,0.43853662664420046
Miami (OH) RedHawks,10,10,1.0,8,0.8,0.4755713105758679,0.5211345352802256,0.0455632247043577
Wagner Seahawks,9,3,0.3333333333333333,6,0.6666666666666666,0.10415387577986789,0.5067012889831579,0.40254741320329
Northern Iowa Panthers,13,11,0.8461538461538461,9,0.6923076923076923,0.527799841551437,0.5057207667453995,-0.022079074806037546
Grambling St Tigers,12,6,0.5,9,0.75,0.15178851454999034,0.49979296538193485,0.34800445083194453
Middle Tennessee Blue Raiders,11,6,0.5454545454545454,6,0.5454545454545454,0.24203977177559086,0.49956716862854234,0.25752739685295145
Kansas Jayhawks,14,10,0.7142857142857143,9,0.6428571428571429,0.5776546311520653,0.49610280494807146,-0.08155182620399382
Akron Zips,12,8,0.6666666666666666,8,0.6666666666666666,0.4645550384571537,0.4960625514664906,0.03150751300933691
Portland St Vikings,10,5,0.5,9,0.9,0.21504273692101655,0.4916574313524689,0.27661469443145237
UT-Arlington Mavericks,13,8,0.6153846153846154,8,0.6153846153846154,0.24762651116601525,0.48768238828686117,0.24005587712084592
Wichita St Shockers,14,8,0.5714285714285714,9,0.6428571428571429,0.402392395293429,0.4858853277264214,0.08349293243299238
